position,song,artist,popularity,album_type,total_track,release_date
22,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,96,single,2,03-02-2023
23,I Wanna Be Yours,Arctic Monkeys,94,album,12,09-09-2013
24,Yandel 150,Yandel,90,album,17,13-01-2023
25,El Azul,Junior H & Peso Pluma,95,single,1,10-02-2023
26,PRC,Peso Pluma & Natanael Cano,96,single,1,23-01-2023
27,Last Night,Morgan Wallen,89,album,36,03-03-2023
28,Anti-Hero,Taylor Swift,94,album,13,21-10-2022
29,All My Life (feat. J. Cole),Lil Durk & J. Cole,88,single,1,12-05-2023
30,Die For You,The Weeknd,91,album,18,24-11-2016
31,Angels Like You,Miley Cyrus,91,album,15,27-11-2020
32,Cruel Summer,Taylor Swift,92,album,18,23-08-2019
33,I'm Good (Blue),David Guetta & Bebe Rexha,94,single,2,26-08-2022
34,Here With Me,d4vd,94,single,1,22-09-2022
35,Starboy,The Weeknd,93,album,18,25-11-2016
36,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez & Em Beihold,93,single,1,22-04-2022
37,Another Love,Tom Odell,63,album,10,17-06-2013
38,People,Libianca,92,single,1,06-12-2022
39,Moonlight,Kali Uchis,87,album,15,03-03-2023
40,golden hour,JVKE,90,album,12,23-09-2022
41,AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,95,single,1,24-11-2022
42,I Ain't Worried,OneRepublic,55,album,18,15-02-2023
43,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyoncé & Kendrick Lamar,75,single,1,19-05-2023
44,Por las Noches,Peso Pluma,93,single,1,11-06-2021
45,Frágil,Yahritza Y Su Esencia & Grupo Frontera,90,single,1,07-04-2023
46,Unholy (feat. Kim Petras),Sam Smith,86,album,13,27-01-2023
47,Like Crazy,Jimin,93,single,6,24-03-2023
48,Yellow,Coldplay,91,album,10,10-07-2000
49,Shakira: Bzrp Music Sessions Vol. 53,Bizarrap & Shakira,94,single,1,11-01-2023
50,La Bachata,Manuel Turizo,86,album,15,17-03-2023
1,Ella Baila Sola,Eslabon Armado,90,album,16,28-04-2023
2,WHERE SHE GOES,Bad Bunny,91,single,1,18-05-2023
